f: 0		N	s	pc	pm	MaxG					pc	0.0625	0.125	0.1875	0.25	0.3125	0.375	0.4375	0.5	0.5625	0.625	0.6875	0.75	0.8125	0.875	0.9375	
Get 800	20	900	2	0.1875	0.24	25	1053	94611			0.72	25	21	26	26	22	18	26	20	23	20	15	21	26	19	15	
Get 800	19	900	2	0.1875	0.28	25	952	99129			0.76	20	24	24	22	26	17	26	22	26	20	26	22	24	26	20	
Get 800	18	900	2	0.1875	0.32	25	1020	98905			0.8	26	26	22	26	26	23	26	26	26	26	16	23	26	20	23	
Not get 800	26	900	2	0.1875	0.36	25	832	88042			0.84	16	20	24	18	21	26	26	23	26	21	22	23	22	19	23	
Not get 800	26	900	2	0.1875	0.4	25	854	91506			0.88	26	26	26	22	24	18	26	23	26	18	26	26	22	26	26	
Not get 800	26	900	2	0.1875	0.44	25	843	85610			0.92	23	23	25	26	26	18	26	26	17	26	26	26	26	26	21	
Get 800	23	900	2	0.1875	0.48	25	885	78450			0.96	26	26	24	19	26	26	26	26	26	26	26	26	26	26	25	
Get 800	18	900	2	0.1875	0.52	25	955	99139																			
Not get 800	26	900	2	0.1875	0.56	25	798	81881																			
Not get 800	26	900	2	0.1875	0.6	25	862	89472																			
Get 800	22	900	2	0.1875	0.64	25	937	91362																			
Get 800	23	900	2	0.1875	0.68	25	886	92850																			
Not get 800	26	900	2	0.1875	0.72	25	735	84636																			
Get 800	24	900	2	0.1875	0.76	25	822	88440			pc	0.0625	0.125	0.1875	0.25	0.3125	0.375	0.4375	0.5	0.5625	0.625	0.6875	0.75	0.8125	0.875	0.9375	
Get 800	22	900	2	0.1875	0.8	25	888	93392			pm																
Get 800	24	900	2	0.1875	0.84	25	854	89604			0.04	92043	103740	94819	87580	98515	96945	93582	103751	103844	90192	88257	106272	87823	98930	94055	
Not get 800	26	900	2	0.1875	0.88	25	819	90355			0.08	108087	82275	104726	94785	98785	106755	105600	91433	104558	91244	95792	88830	84291	89146	99711	
Get 800	25	900	2	0.1875	0.92	25	958	96456			0.12	97086	87808	101446	88407	93386	100651	105108	101717	109810	98073	94717	98546	90713	99629	86800	
Get 800	24	900	2	0.1875	0.96	25	961	85704			0.16	99952	85537	101025	100031	94770	100527	109743	94793	98938	104778	97109	89633	92780	98798	103666	
Not get 800	26	900	2	0.25	0.04	25	822	87580			0.2	108392	96428	97453	104146	80302	103982	92388	90845	92135	97675	98543	91694	88588	98515	90968	
Get 800	16	900	2	0.25	0.08	25	971	94785			0.24	140361	88181	94611	97716	93719	87631	112126	97172	86339	93334	88721	98899	90871	92663	91641	
Get 800	23	900	2	0.25	0.12	25	888	88407			0.28	118327	103923	99129	99685	99800	103107	113635	88560	105378	91042	92854	87543	92345	90380	94591	
Get 800	19	900	2	0.25	0.16	25	946	100031			0.32	107894	88384	98905	92718	102931	100058	95047	95032	100203	92008	99839	90187	89520	102884	97450	
Get 800	16	900	2	0.25	0.2	25	1058	104146			0.36	126979	93346	88042	93736	91148	90529	94269	90223	95457	95562	85859	99396	99661	87457	98348	
Get 800	17	900	2	0.25	0.24	25	1000	97716			0.4	111518	85623	91506	88302	89218	92434	89428	87133	97380	83099	100217	94999	92128	86266	96553	
Get 800	18	900	2	0.25	0.28	25	992	99685			0.44	83247	91756	85610	93896	101798	104010	101696	91258	86408	98474	98943	105122	84649	87293	86504	
Get 800	19	900	2	0.25	0.32	25	929	92718			0.48	87254	98169	78450	99006	96200	103980	90809	90945	92939	84162	102429	105978	86008	85276	101279	
Get 800	20	900	2	0.25	0.36	25	960	93736			0.52	80957	96329	99139	90290	99047	98934	88207	91145	94692	85486	97288	101500	92637	100979	96318	
Get 800	22	900	2	0.25	0.4	25	978	88302			0.56	105600	99146	81881	97503	97652	93140	97458	94892	93730	98897	90841	93327	94091	97894	102900	
Get 800	21	900	2	0.25	0.44	25	971	93896			0.6	95450	81932	89472	89625	88463	89114	104290	98879	86018	85003	98212	91558	98308	96543	87009	
Get 800	17	900	2	0.25	0.48	25	983	99006			0.64	96150	94928	91362	91648	80717	90573	93796	95133	95360	94828	84177	82849	92049	85526	93210	
Get 800	20	900	2	0.25	0.52	25	933	90290			0.68	85565	97013	92850	95924	88648	88460	84286	95283	100515	90918	89230	86102	92677	95297	87975	
